ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
18,I am a developer by profession,Employed full-time,Canada,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,9,6,"Developer, front-end;Developer, full-stack;Developer, back-end",500 to 999 employees,CAD	Canadian dollar,61000,Yearly,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL,MySQL;PostgreSQL,MySQL,AWS,NA,jQuery;Laravel;Ruby on Rails,jQuery;Laravel;Ruby on Rails,NA,NA,Git,Git,Sublime Text;Visual Studio Code,Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,46135
19,"I am not primarily a developer, but I write code sometimes as part of my work",I prefer not to say,Singapore,NA,NA,"Other doctoral degree (Ph.D., Ed.D., etc.)",11 - 17 years,Other (please specify):,40,30,NA,"5,000 to 9,999 employees",SGD	Singapore dollar,18700,Monthly,C++;Python,C++;Python,NA,NA,NA,NA,NA,NA,NumPy;Pandas;Torch/PyTorch,NumPy;Pandas;Torch/PyTorch,NA,NA,IPython/Jupyter;Vim,IPython/Jupyter;Vim,Linux-based,Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",No,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,160932
20,"I used to be a developer by profession, but no longer am",Employed full-time,Brazil,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification",12,9,Other (please specify):,NA,NA,NA,NA,C;C++;HTML/CSS;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript,C;C++;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,MariaDB;MySQL,MariaDB;MySQL,NA,NA,Angular;Express;Flask;React.js;Svelte,Express;Flask;React.js,NumPy,NumPy;Qt;React Native;TensorFlow,Git,Git,Vim;Visual Studio;Visual Studio Code,Vim;Visual Studio;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Multiracial,None of the above,None of the above,Appropriate in length,Easy,NA
21,I am a developer by profession,"Student, full-time",Germany,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Colleague,NA,NA,NA,NA,NA,NA,NA,Java;Python,Java;Python,MySQL;PostgreSQL,MySQL;PostgreSQL,AWS,NA,Spring,Spring,NumPy;Pandas,NumPy;Pandas,Git,Git,IntelliJ;PyCharm,IntelliJ;PyCharm,Windows,Visit Stack Overflow;Google it,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,NA,White or of European descent,NA,NA,Too long,Easy,NA
22,I am a student who is learning to code,"Student, full-time",Sweden,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",NA,NA,NA,NA,NA,NA,NA,JavaScript;Python,APL;Python,SQLite,NA,Heroku,NA,Flask,FastAPI,.NET Core / .NET 5;NumPy;Torch/PyTorch,NumPy;Pandas;Torch/PyTorch,Git,Git,Vim;Visual Studio Code,Vim,Linux-based,Go for a walk or other physical activity;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,18-24 years old,Man,No,NA,White or of European descent;I don't know,NA,None of the above,NA,NA,NA
23,I am a student who is learning to code,"Student, full-time",India,NA,NA,Some college/university study without earning a degree,5 - 10 years,School;Friend or family member,7,NA,NA,NA,NA,NA,NA,C#;HTML/CSS;Python,Java;Kotlin;Python,NA,NA,NA,NA,NA,NA,NA,NA,Unity 3D,NA,Android Studio,Android Studio,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,Under 18 years old,Man,No,Prefer not to say,Prefer not to say,None of the above,None of the above,Appropriate in length,Easy,NA
24,I am a developer by profession,Employed full-time,France,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School;Online Courses or Certification,9,2,"Engineer, data;Data scientist or machine learning specialist",10 to 19 employees,EUR European Euro,36000,Yearly,JavaScript;Python,Python;SQL,MySQL,Elasticsearch;MongoDB;MySQL;PostgreSQL,NA,NA,NA,NA,Apache Spark;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Apache Spark;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Docker;Git,Docker;Git;Kubernetes,Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,NA,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,38915
25,I am a developer by profession,Employed full-time,Germany,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School;Friend or family member,26,18,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",EUR European Euro,72000,Yearly,C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript,HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript,DynamoDB;PostgreSQL,PostgreSQL,AWS;Heroku,AWS;Heroku,Angular;Express;Spring,Angular;Express;Spring,NA,NA,Docker;Git;Kubernetes,Docker;Git;Kubernetes,Android Studio;IntelliJ;Visual Studio Code,Android Studio;IntelliJ;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,77831
26,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,NA,NA,"Other doctoral degree (Ph.D., Ed.D., etc.)",25 - 34 years,Coding Bootcamp;Online Forum,12,12,Academic researcher;Database administrator;Scientist,100 to 499 employees,EUR European Euro,NA,Monthly,HTML/CSS;Julia;Python;R;SQL,HTML/CSS;Julia;Python;R;SQL,PostgreSQL;SQLite,PostgreSQL,NA,NA,Django;jQuery,NA,NumPy;Pandas;TensorFlow,NumPy;Pandas;TensorFlow,Docker;Git,Git,Atom;RStudio;Vim,Atom;RStudio;Vim,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,No,35-44 years old,"Non-binary, genderqueer, or gender non-conforming",Prefer not to say,Bisexual,White or of European descent,None of the above,I have an anxiety disorder,Appropriate in length,Neither easy nor difficult,NA
27,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Switzerland,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Other (please specify):,14,5,Academic researcher;Scientist;Student,"5,000 to 9,999 employees",CHF	Swiss franc,80000,Yearly,C++;Python,C++;Go;Java;Python,NA,NA,NA,NA,NA,NA,NumPy;Pandas,NA,Docker;Git,Docker;Git,IntelliJ;IPython/Jupyter,IntelliJ;IPython/Jupyter,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,25-34 years old,Man,No,NA,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,81319
28,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,England,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Coding Bootcamp,39,21,"Developer, back-end","5,000 to 9,999 employees",GBP	Pound sterling,53000,Yearly,Python,Bash/Shell;Python;SQL,PostgreSQL,PostgreSQL,NA,NA,NA,NA,NA,NA,Git,Git,Neovim;Vim,Neovim;Vim,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",No,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,68507
29,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA,England,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Other (please specify):",14,1,"Developer, back-end;Developer, QA or test","Just me - I am a freelancer, sole proprietor, etc.",GBP	Pound sterling,NA,NA,Bash/Shell;Haskell;JavaScript;SQL;TypeScript,Bash/Shell;C#;F#;Haskell;Rust;Scala,Microsoft SQL Server,PostgreSQL;Redis,AWS;Google Cloud Platform;Microsoft Azure,AWS;Google Cloud Platform,NA,NA,NA,NA,Git,Docker;Git,Visual Studio Code,Visual Studio Code,Windows,Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Easy,NA
30,I am a developer by profession,Employed full-time,Russian Federation,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification",20,16,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator",2 to 9 employees,RUB	Russian ruble,200000,Monthly,Delphi;Java;SQL,Java;Kotlin;Scala;SQL,PostgreSQL,Cassandra;MongoDB;PostgreSQL;Redis,NA,NA,NA,NA,NA,NA,Docker;Git,Docker;Git,IntelliJ;NetBeans;Webstorm,IntelliJ;Webstorm,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,37752
31,I code primarily as a hobby,I prefer not to say,Malawi,NA,NA,Something else,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",4,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;Node.js;Python;TypeScript,NA,MongoDB;MySQL;Redis,MariaDB,AWS;DigitalOcean;Heroku,NA,Express;React.js;Svelte;Vue.js,Express;React.js,NA,NA,Docker;Git;Yarn,Docker;Git,Atom;Visual Studio Code,Atom;Vim,Linux-based,Visit Stack Overflow;Watch help / tutorial videos;Play games;Panic,Stack Overflow;Stack Exchange,A few times per week,Not sure/can't remember,NA,"No, not at all",No,Prefer not to say,Man,No,Straight / Heterosexual;Bisexual,I don't know,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,NA
